2019年10月02日 17:50,颜色分类:黑色尺码:37,超喜欢椰子系列，去年买过一双350的正版，又买一双500来解解毒😍😍反正价格不贵，穿着玩~再说下鞋子，我是穿了一天才来评论，脚感舒适，鞋底很轻很软有明显踩屎感。真的不比专柜货差，总之这个价格非常值！！！刚才又拍了一双男款等发货！
2019年10月10日 21:12,颜色分类:米白色尺码:39,版型和Y版一样，很正！细节无敌！是磨砂牛皮的，鞋底很软，很舒服～～～丑酷丑酷的，爱的就是这种风格，哈哈
2019年10月05日 22:09,颜色分类:黑色尺码:38,这款鞋子真的是爱了，好看到爆，鞋子质量很好，做工精细，可以看一下实拍图，上脚真的是又好看又舒服，鞋底很软，鞋子摸起来很有质感，不会松松垮垮的，脚感也特别舒服
2019年10月06日 16:30,,"评价方未及时做出评价,系统默认好评!"
2019年10月07日 14:21,颜色分类:米白色尺码:40,货已收到，包装严实完好，质量不错，做工精细，码数合适，穿着很舒服，时尚潮流，正品！
2019年10月08日 16:41,颜色分类:米白色尺码:37,收到就上脚了 刚好国庆穿 走多少路都不累 大牌有洋气 真心爱
2019年10月05日 23:07,颜色分类:浅黄色尺码:37,鞋子很快收到了，特意穿了一段时间再来评价&hellip;&hellip;质量不错，儿子说上脚很舒适，很透气
2019年10月02日 14:41,颜色分类:米白色尺码:36,之前一直都是高跟鞋，很少穿这种风格的鞋子，现在有孩子穿高跟鞋真的很累，试了一下，很舒服柔软，质量也不错，款式也喜欢，等过段时间再入手一双
2019年10月05日 17:08,颜色分类:米白色尺码:36,款式很好，穿着鞋子脚底柔软很舒服，透气不闷，也很百搭，还会再关注的
2019年10月03日 16:06,颜色分类:米白色尺码:38,鞋子已收到，一直想买一双椰子鞋，喜欢这种风格，穿上很舒服，底子很软，鞋也不重，鞋底厚度刚好，很喜欢！
2019年09月29日 10:30,颜色分类:米白色尺码:【标准码数 按平时码数拍即可】,鞋收到质量很好是正品，尺寸标准，鞋底材质好，防滑。鞋面材质也都是非常好的，款式设计风格各个方面都是非常的满意。好评
2019年10月01日 14:12,颜色分类:米白色尺码:38,真皮柔软，鞋底防滑特别软舒服，我同事买的仿版和我这双一比较就有区别了，能感觉出来是正品，值得推荐
2019年10月01日 12:59,颜色分类:浅黄色尺码:37,早就种草了这款鞋子，奈何价格太高。现在终于买到了价格实惠质量也很棒的款。太开心了，穿出去朋友都说好好看
2019年09月30日 05:16,颜色分类:米白色尺码:2.真正的同厂流水线生产,小椰子收到了，外观很满意，做工很精细，当天就上脚了，感觉还不错，跟介绍一样，  挺舒服的，不闷脚，透气舒适，大家可以放心购买哦，穿的好以后再来!   
2019年10月05日 17:05,颜色分类:米白色尺码:36,很轻巧透气，大小刚好。没有色差是正品，物流很快
2019年10月06日 21:19,颜色分类:米白色尺码:高性价比 媲美zp版鞋品质,鞋子脚感非常舒服，穿着也很时尚，配什么衣服都好看。
2019年10月06日 15:09,颜色分类:米白色尺码:38,鞋子穿上很舒服，透气性非常好😊尺码也标准，下次还来回购
2019年10月02日 09:14,颜色分类:浅黄色尺码:37,鞋头款式：款式好看 鞋面材质：质量不错，材质好 鞋底材质：鞋底柔软不咯脚 风格：是我喜欢的 
2019年10月06日 18:10,颜色分类:浅黄色尺码:36,上脚很舒服，款式也大爱，质量超级好可以放心购买了
2019年10月05日 22:02,颜色分类:米白色尺码:36,鞋子质量不错，穿着挺舒服的，尺码合适，穿着挺好看的！
2019年09月29日 09:31,颜色分类:黑色尺码:1.原Y定制 所有材质按版鞋定制,鞋子收到了，穿的舒适不勒脚，鞋底很软，款式好看，透气无异味
2019年09月29日 22:38,颜色分类:米白色尺码:38,鞋子做工精细，鞋面是飞织网纱穿着透气，舒服不磨脚，码数标准，百搭，没有异味
2019年10月10日 15:23,颜色分类:黑色尺码:2.真正的同厂流水线生产,鞋子早收到了，穿了一段时间再来评价的，鞋子不变形，走路很舒服，不错
2019年10月06日 16:51,颜色分类:米白色尺码:3.全真皮打造 原Y鞋底开模,质量很好，穿着很舒服很轻一点都不觉得累脚，鞋底防滑下雨天也不怕会滑倒了，很赞
2019年09月27日 15:52,颜色分类:黑色尺码:1.原Y定制 所有材质按版鞋定制,鞋子收到，质量挺不错的，穿上舒服不累脚，和图片一样时尚好看，款式设计独特很时尚百搭，鞋底很柔软，鞋底防滑又厚，好评。
2019年10月05日 11:55,颜色分类:米白色尺码:【你所见过的醉高版本500】,鞋子收到，款式时尚好看，质量好，上脚舒服，不磨脚，走路轻快！喜欢！
2019年10月01日 12:32,颜色分类:米白色尺码:38,颜色很百搭，很潮流的款式，码数刚刚好。我是看同事穿的好看又舒服才买的😊真的不错。国庆假期可以穿出去浪咯～～～开心😁
2019年10月05日 17:15,颜色分类:米白色尺码:37,很潮的鞋子，穿着走路跑步都很舒服，没有束缚感，主要是不闷热不臭脚，这鞋子买得值！
2019年10月04日 15:19,颜色分类:浅黄色尺码:40,鞋头款式：款式喜欢 鞋面材质：穿着舒服 鞋底材质：鞋底柔软不骼脚 风格：颜色和款式我都蛮喜欢 
2019年09月29日 22:02,颜色分类:米白色尺码:36,这款鞋穿的非常舒服，质量手感都很好，走了一天的路不会像以前感觉那么累，挺好的，会来回购的&hellip;
2019年09月30日 20:53,颜色分类:米白色尺码:37,鞋子版型好看，穿在脚上很舒服，也很好搭配衣服，打算过段时间再买一双送给妹妹。
2019年10月06日 09:15,颜色分类:米白色尺码:38,质量非常好，穿着也舒服，经济实惠，会回购的！
2019年09月29日 13:51,颜色分类:浅黄色尺码:36,鞋子款式很漂亮。颜色与图片一致。穿上非常的轻巧。舒适。妥妥的休闲风。
2019年09月30日 15:19,颜色分类:米白色尺码:39,鞋子很轻，很软，舒适，做工压边都很精细，质量看起来很不错哩！
2019年10月02日 13:38,颜色分类:黑色尺码:38,鞋子鞋型很好看哦，鞋底也很好，防滑的而且走路也不会硌脚，穿着很舒服，筒身也有弹力，不会紧绷，很友好哦，喜欢，穿起来显瘦，很好看。
2019年09月23日 21:43,颜色分类:黑色尺码:37,此用户没有填写评价。
2019年10月09日 11:38,颜色分类:黑色尺码:36,鞋子很软 穿上不重很舒服 挺满意的
2019年10月06日 17:39,颜色分类:浅黄色尺码:2.真正的同厂流水线生产,鞋子质量不错，轻便透气。
2019年09月20日 23:40,,"评价方未及时做出评价,系统默认好评!"
2019年10月05日 16:49,颜色分类:黑色尺码:38,快递收到了，鞋子大小合适，穿起来走路很舒服，不像别家硬邦邦的不好走。很满意，会回购的。
2019年10月02日 17:50,颜色分类:黑色尺码:37,超喜欢椰子系列，去年买过一双350的正版，又买一双500来解解毒😍😍反正价格不贵，穿着玩~再说下鞋子，我是穿了一天才来评论，脚感舒适，鞋底很轻很软有明显踩屎感。真的不比专柜货差，总之这个价格非常值！！！刚才又拍了一双男款等发货！
2019年10月10日 21:12,颜色分类:米白色尺码:39,版型和Y版一样，很正！细节无敌！是磨砂牛皮的，鞋底很软，很舒服～～～丑酷丑酷的，爱的就是这种风格，哈哈
2019年10月05日 22:09,颜色分类:黑色尺码:38,这款鞋子真的是爱了，好看到爆，鞋子质量很好，做工精细，可以看一下实拍图，上脚真的是又好看又舒服，鞋底很软，鞋子摸起来很有质感，不会松松垮垮的，脚感也特别舒服
2019年10月08日 17:32,颜色分类:米白色尺码:37,鞋子穿着很舒服，鞋底很软，透气性很好，目前穿了一段时间没有臭脚，版型也好看，喜欢的朋友可以下手了
2019年10月06日 16:30,,"评价方未及时做出评价,系统默认好评!"
2019年10月07日 14:21,颜色分类:米白色尺码:40,货已收到，包装严实完好，质量不错，做工精细，码数合适，穿着很舒服，时尚潮流，正品！
2019年10月08日 16:41,颜色分类:米白色尺码:37,收到就上脚了 刚好国庆穿 走多少路都不累 大牌有洋气 真心爱
2019年10月05日 23:07,颜色分类:浅黄色尺码:37,鞋子很快收到了，特意穿了一段时间再来评价&hellip;&hellip;质量不错，儿子说上脚很舒适，很透气
2019年10月02日 14:41,颜色分类:米白色尺码:36,之前一直都是高跟鞋，很少穿这种风格的鞋子，现在有孩子穿高跟鞋真的很累，试了一下，很舒服柔软，质量也不错，款式也喜欢，等过段时间再入手一双
2019年10月05日 17:08,颜色分类:米白色尺码:36,款式很好，穿着鞋子脚底柔软很舒服，透气不闷，也很百搭，还会再关注的
2019年10月03日 16:06,颜色分类:米白色尺码:38,鞋子已收到，一直想买一双椰子鞋，喜欢这种风格，穿上很舒服，底子很软，鞋也不重，鞋底厚度刚好，很喜欢！
2019年09月29日 10:30,颜色分类:米白色尺码:【标准码数 按平时码数拍即可】,鞋收到质量很好是正品，尺寸标准，鞋底材质好，防滑。鞋面材质也都是非常好的，款式设计风格各个方面都是非常的满意。好评
2019年10月01日 14:12,颜色分类:米白色尺码:38,真皮柔软，鞋底防滑特别软舒服，我同事买的仿版和我这双一比较就有区别了，能感觉出来是正品，值得推荐
2019年10月01日 12:59,颜色分类:浅黄色尺码:37,早就种草了这款鞋子，奈何价格太高。现在终于买到了价格实惠质量也很棒的款。太开心了，穿出去朋友都说好好看
2019年09月30日 05:16,颜色分类:米白色尺码:2.真正的同厂流水线生产,小椰子收到了，外观很满意，做工很精细，当天就上脚了，感觉还不错，跟介绍一样，  挺舒服的，不闷脚，透气舒适，大家可以放心购买哦，穿的好以后再来!   
2019年10月05日 17:05,颜色分类:米白色尺码:36,很轻巧透气，大小刚好。没有色差是正品，物流很快
2019年10月06日 21:19,颜色分类:米白色尺码:高性价比 媲美zp版鞋品质,鞋子脚感非常舒服，穿着也很时尚，配什么衣服都好看。
2019年10月06日 15:09,颜色分类:米白色尺码:38,鞋子穿上很舒服，透气性非常好😊尺码也标准，下次还来回购
2019年10月02日 09:14,颜色分类:浅黄色尺码:37,鞋头款式：款式好看 鞋面材质：质量不错，材质好 鞋底材质：鞋底柔软不咯脚 风格：是我喜欢的 
2019年10月06日 18:10,颜色分类:浅黄色尺码:36,上脚很舒服，款式也大爱，质量超级好可以放心购买了
2019年10月05日 22:02,颜色分类:米白色尺码:36,鞋子质量不错，穿着挺舒服的，尺码合适，穿着挺好看的！
2019年09月29日 09:31,颜色分类:黑色尺码:1.原Y定制 所有材质按版鞋定制,鞋子收到了，穿的舒适不勒脚，鞋底很软，款式好看，透气无异味
2019年09月29日 22:38,颜色分类:米白色尺码:38,鞋子做工精细，鞋面是飞织网纱穿着透气，舒服不磨脚，码数标准，百搭，没有异味
2019年10月10日 15:23,颜色分类:黑色尺码:2.真正的同厂流水线生产,鞋子早收到了，穿了一段时间再来评价的，鞋子不变形，走路很舒服，不错
2019年10月06日 16:51,颜色分类:米白色尺码:3.全真皮打造 原Y鞋底开模,质量很好，穿着很舒服很轻一点都不觉得累脚，鞋底防滑下雨天也不怕会滑倒了，很赞
2019年09月27日 15:52,颜色分类:黑色尺码:1.原Y定制 所有材质按版鞋定制,鞋子收到，质量挺不错的，穿上舒服不累脚，和图片一样时尚好看，款式设计独特很时尚百搭，鞋底很柔软，鞋底防滑又厚，好评。
2019年10月05日 11:55,颜色分类:米白色尺码:【你所见过的醉高版本500】,鞋子收到，款式时尚好看，质量好，上脚舒服，不磨脚，走路轻快！喜欢！
2019年10月01日 12:32,颜色分类:米白色尺码:38,颜色很百搭，很潮流的款式，码数刚刚好。我是看同事穿的好看又舒服才买的😊真的不错。国庆假期可以穿出去浪咯～～～开心😁
2019年10月05日 17:15,颜色分类:米白色尺码:37,很潮的鞋子，穿着走路跑步都很舒服，没有束缚感，主要是不闷热不臭脚，这鞋子买得值！
2019年10月04日 15:19,颜色分类:浅黄色尺码:40,鞋头款式：款式喜欢 鞋面材质：穿着舒服 鞋底材质：鞋底柔软不骼脚 风格：颜色和款式我都蛮喜欢 
2019年09月29日 22:02,颜色分类:米白色尺码:36,这款鞋穿的非常舒服，质量手感都很好，走了一天的路不会像以前感觉那么累，挺好的，会来回购的&hellip;
2019年09月30日 20:53,颜色分类:米白色尺码:37,鞋子版型好看，穿在脚上很舒服，也很好搭配衣服，打算过段时间再买一双送给妹妹。
2019年10月06日 09:15,颜色分类:米白色尺码:38,质量非常好，穿着也舒服，经济实惠，会回购的！
2019年09月30日 18:59,颜色分类:黑色尺码:3.全真皮打造 原Y鞋底开模,鞋子收到了，穿上走路很舒服，做工也挺精致的，鞋底厚度刚刚好，很满意
2019年10月07日 18:21,颜色分类:米白色尺码:35,很好，鞋底很软，穿起来很舒服，码数也很准，很喜欢
2019年09月29日 13:51,颜色分类:浅黄色尺码:36,鞋子款式很漂亮。颜色与图片一致。穿上非常的轻巧。舒适。妥妥的休闲风。
2019年09月30日 15:19,颜色分类:米白色尺码:39,鞋子很轻，很软，舒适，做工压边都很精细，质量看起来很不错哩！
2019年10月02日 13:38,颜色分类:黑色尺码:38,鞋子鞋型很好看哦，鞋底也很好，防滑的而且走路也不会硌脚，穿着很舒服，筒身也有弹力，不会紧绷，很友好哦，喜欢，穿起来显瘦，很好看。
2019年10月10日 22:32,颜色分类:米白色尺码:39,鞋子穿了一段时间，确实不错。去爬山再也不会脚痛了。
2019年09月23日 21:43,颜色分类:黑色尺码:37,此用户没有填写评价。
2019年10月09日 11:38,颜色分类:黑色尺码:36,鞋子很软 穿上不重很舒服 挺满意的
2019年10月08日 17:39,颜色分类:浅黄色尺码:38,鞋子的质量很好，很透气的，做工也非常的好！
2019年10月06日 17:39,颜色分类:浅黄色尺码:2.真正的同厂流水线生产,鞋子质量不错，轻便透气。
2019年09月20日 23:40,,"评价方未及时做出评价,系统默认好评!"
2019年10月05日 16:49,颜色分类:黑色尺码:38,快递收到了，鞋子大小合适，穿起来走路很舒服，不像别家硬邦邦的不好走。很满意，会回购的。
2019年09月29日 16:25,颜色分类:米白色尺码:38,鞋子收到了，非常满意，跟图片一样，质量非常好，做工非常精细，鞋底也很软很舒服，非常百搭的一双鞋，非常喜欢。。
2019年10月10日 12:00,颜色分类:米白色尺码:3.全真皮打造 原Y鞋底开模,穿着舒服，好看呢！姑娘喜欢！
2019年09月25日 13:46,颜色分类:米白色尺码:42,鞋子不错 质量也很好 很棒 我很喜欢 鞋头款式：喜欢 鞋面材质：很好 鞋底材质：很好 风格：喜欢 
2019年09月30日 09:59,颜色分类:米白色尺码:37,鞋子好看。版型很正跟图片一样，质量也不错。穿着舒服
2019年09月29日 14:18,颜色分类:米白色尺码:37,鞋子穿着特别舒服，轻巧，透气，这种鞋子是耐看型。越看越好看
2019年10月07日 08:26,颜色分类:黑色尺码:39,鞋子质量很好，穿着很舒服！下次还会再来
2019年10月08日 16:25,颜色分类:米白色尺码:38,穿上舒服，走路不会磨脚，逛街上班都很好搭配衣服
2019年10月07日 08:38,颜色分类:黑色尺码:39,鞋子质量相当不错，上脚很舒服，时尚，非常满意
2019年10月07日 19:27,颜色分类:米白色尺码:39,不错，鞋底不会硬，透气性也好，价格合理
2019年10月02日 22:55,颜色分类:黑色尺码:43,款式新颖，鞋面是真皮网面，鞋底下硬不软，正合适，特满意
2019年09月30日 15:26,颜色分类:黑色尺码:39,天气转冷了，各种鞋子开始备起来。老爹鞋一直是最爱，她家的鞋子质量很好，款式版型都没得说
2019年10月08日 15:59,颜色分类:米白色尺码:42,鞋子质量很好，穿着很舒服，尺码也标准，喜欢
2019年09月30日 23:05,颜色分类:米白色尺码:【标准码数 按平时码数拍即可】,鞋子收到了质量特别好 高级感 穿着也特别舒服颜色也很正炒鸡喜欢下次还会再来
2019年09月24日 15:09,颜色分类:米白色尺码:36,真的是非常满意，首先穿起来很舒服，不累脚，尤其是跑起来很舒坦，外观也十分漂亮，很好搭衣服。质量不错，穿着起来非常结实而且舒适，鞋子很有型，时尚又帅气，而且鞋底材质是软底非常舒适透气，颜色无敌百搭。简直是运动修身的必备之物。
2019年10月01日 09:24,颜色分类:米白色尺码:39,鞋子质量很好，做工精细，码数标准，鞋底很软，穿起来轻便又舒服。
